Date,Course,Hole,Par,Score,Drive,GIR,Putts,Scrambling,Penalty,Notes
6/4/2025,Rose Park,1,3,5,NA,Y,3,NA,NA,
6/4/2025,Rose Park,2,5,6,L,Y,3,NA,NA,
6/4/2025,Rose Park,3,4,4,Y,Y,2,NA,NA,
6/4/2025,Rose Park,4,4,2,Y,Y,0,NA,NA,
6/4/2025,Rose Park,5,3,4,NA,R,2,0,,
6/4/2025,Rose Park,6,4,5,R,R,2,0,,
6/4/2025,Rose Park,7,5,7,L,S,3,NA,1,
6/4/2025,Rose Park,8,4,5,Y,R,2,0,,
6/4/2025,Rose Park,9,4,4,Y,Y,2,NA,,
6/9/2025,Rose Park,1,3,3,NA,S,1,1,0,
6/9/2025,Rose Park,2,5,5,Y,Y,2,0,0,
6/9/2025,Rose Park,3,4,5,R,R,2,0,0,
6/9/2025,Rose Park,4,4,3,R,Y,1,NA,0,
6/9/2025,Rose Park,5,3,4,NA,R,2,0,0,
6/9/2025,Rose Park,6,4,6,R,S,3,0,0,
6/9/2025,Rose Park,7,5,5,Y,Y,2,NA,0,
6/9/2025,Rose Park,8,4,6,Y,R,3,0,0,
6/9/2025,Rose Park,9,4,6,Y,Y,4,NA,0,
6/9/2025,Rose Park,10,5,5,Y,Y,2,NA,0,
6/9/2025,Rose Park,11,3,2,NA,Y,1,NA,0,
6/9/2025,Rose Park,12,4,5,S,R,2,0,0,
6/9/2025,Rose Park,13,3,4,NA,Y,3,NA,0,
6/9/2025,Rose Park,14,5,5,R,L,1,1,1,
6/9/2025,Rose Park,15,4,4,Y,Y,2,NA,0,
6/9/2025,Rose Park,16,4,4,Y,Y,2,NA,0,
6/9/2025,Rose Park,17,3,5,NA,S,2,0,0,
6/9/2025,Rose Park,18,5,4,S,Y,1,1,0,
